"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 1165, 0, 0, 0, 0, 0, 69, 1234
"v:\vex_os\apps\compositor\main.c", "C", 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 34, 387
"v:\vex_os\apps\compositor\manifest.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"v:\vex_os\apps\diagnostics\main.c", "C", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 21, 224
"v:\vex_os\apps\diagnostics\manifest.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"v:\vex_os\apps\gpu\main.c", "C", 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 34, 348
"v:\vex_os\apps\gpu\manifest.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"v:\vex_os\apps\init\desktop_animation.c", "C", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"v:\vex_os\apps\init\desktop_animation.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"v:\vex_os\apps\init\desktop_app_runtime.c", "C", 0, 0, 0, 0, 769, 0, 0, 0, 0, 0, 0, 88, 857
"v:\vex_os\apps\init\desktop_app_runtime.h", "C++", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"v:\vex_os\apps\init\desktop_catalog.c", "C", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 21, 89
"v:\vex_os\apps\init\desktop_catalog.h", "C++", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"v:\vex_os\apps\init\desktop_domain.c", "C", 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 0, 28, 423
"v:\vex_os\apps\init\desktop_domain.h", "C++", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"v:\vex_os\apps\init\desktop_input.c", "C", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 7, 131
"v:\vex_os\apps\init\desktop_input.h", "C++", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"v:\vex_os\apps\init\desktop_launcher.c", "C", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"v:\vex_os\apps\init\desktop_launcher.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"v:\vex_os\apps\init\desktop_layout.c", "C", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"v:\vex_os\apps\init\desktop_layout.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"v:\vex_os\apps\init\desktop_pointer.c", "C", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 16, 179
"v:\vex_os\apps\init\desktop_pointer.h", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"v:\vex_os\apps\init\desktop_ps2.c", "C", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 13, 169
"v:\vex_os\apps\init\desktop_ps2.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
