"filename", "language", "Python", "Markdown", "C", "CMake Cache", "YAML", "C++", "Log", "comment", "blank", "total"
"v:\vex_os\apps\compositor\main.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\apps\gpu\main.c", "C", 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"v:\vex_os\apps\init\desktop_app_runtime.c", "C", 0, 0, 332, 0, 0, 0, 0, 8, 14, 354
"v:\vex_os\apps\init\desktop_app_runtime.h", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"v:\vex_os\apps\init\desktop_catalog.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"v:\vex_os\apps\init\desktop_registry.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, -1, 0
"v:\vex_os\apps\init\desktop_views.c", "C", 0, 0, 152, 0, 0, 0, 0, 0, 11, 163
"v:\vex_os\apps\init\vex_gpu_proto.h", "C++", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"v:\vex_os\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"v:\vex_os\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, -179, 0, 0, 0, -4, -183
"v:\vex_os\build\Testing\Temporary\LastTest.log", "Log", 0, 0, 0, 0, 0, 0, -31, 0, -3, -34
"v:\vex_os\build\Testing\Temporary\LastTestsFailed.log", "Log", 0, 0, 0, 0, 0, 0, -1, 0, -1, -2
"v:\vex_os\build\boot\gpu_blob.c", "C", 0, 0, 57, 0, 0, 0, 0, 0, 0, 57
"v:\vex_os\build\boot\init_blob.c", "C", 0, 0, 1375, 0, 0, 0, 0, 0, 0, 1375
"v:\vex_os\build\gpu-boot-serial-reset.log", "Log", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"v:\vex_os\build\gpu-boot-serial.log", "Log", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"v:\vex_os\build\out\desktop-check.log", "Log", 0, 0, 0, 0, 0, 0, -62, 0, -7, -69
"v:\vex_os\build\out\desktop-check2.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\desktop-check3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\desktop-gui.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\desktop-gui4.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\embedded-boot.log", "Log", 0, 0, 0, 0, 0, 0, -2006, 0, -20, -2026
"v:\vex_os\build\out\embedded-serial.log", "Log", 0, 0, 0, 0, 0, 0, -16, 0, 0, -16
"v:\vex_os\build\out\gui-fresh.log", "Log", 0, 0, 0, 0, 0, 0, -61, 0, -6, -67
"v:\vex_os\build\out\headless-desktop-serial.log", "Log", 0, 0, 0, 0, 0, 0, -62, 0, -7, -69
"v:\vex_os\build\out\headless-fix-serial.log", "Log", 0, 0, 0, 0, 0, 0, -62, 0, -7, -69
"v:\vex_os\build\out\headless-probe-serial.log", "Log", 0, 0, 0, 0, 0, 0, -62, 0, -7, -69
"v:\vex_os\build\out\headless-stage-serial.log", "Log", 0, 0, 0, 0, 0, 0, -62, 0, -7, -69
"v:\vex_os\build\out\headless-user.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\out\headless.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\isa-debug-402.log", "Log", 0, 0, 0, 0, 0, 0, -1426, 0, -1, -1427
"v:\vex_os\build\out\isa-debug-current.log", "Log", 0, 0, 0, 0, 0, 0, -1426, 0, -1, -1427
"v:\vex_os\build\out\isa-debug-e9.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\isa-debug.log", "Log", 0, 0, 0, 0, 0, 0, -702, 0, -1, -703
"v:\vex_os\build\out\manual-qemu-serial.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\python-boot-monitor.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\out\python-boot-shot.log", "Log", 0, 0, 0, 0, 0, 0, -61, 0, -5, -66
"v:\vex_os\build\out\qemu-serial.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\out\stage-kernel-file.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-kernel-open.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-loader-file.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-loader-relative.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-openroot.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-root.log", "Log", 0, 0, 0, 0, 0, 0, -2005, 0, -20, -2025
"v:\vex_os\build\out\stage-watchdog-fresh.log", "Log", 0, 0, 0, 0, 0, 0, -2378, 0, -20, -2398
"v:\vex_os\build\out\stage-watchdog.log", "Log", 0, 0, 0, 0, 0, 0, -1431, 0, -1, -1432
"v:\vex_os\build\out\verify-hub.log", "Log", 0, 0, 0, 0, 0, 0, -61, 0, -5, -66
"v:\vex_os\build\qemu-debugcon.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-debugcon2.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-debugcon3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-desktop.log", "Log", 0, 0, 0, 0, 0, 0, -64, 0, -6, -70
"v:\vex_os\build\qemu-final.log", "Log", 0, 0, 0, 0, 0, 0, -61, 0, -6, -67
"v:\vex_os\build\qemu-gfx.log", "Log", 0, 0, 0, 0, 0, 0, -64, 0, -6, -70
"v:\vex_os\build\qemu-gui-final-serial.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\qemu-gui-serial.log", "Log", 0, 0, 0, 0, 0, 0, -1045, 0, -96, -1141
"v:\vex_os\build\qemu-gui-stderr.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-gui-stdout.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-headless-stderr.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-headless-stdout.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-live.log", "Log", 0, 0, 0, 0, 0, 0, -56, 0, -7, -63
"v:\vex_os\build\qemu-noreboot-serial.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"v:\vex_os\build\qemu-run-debug.log", "Log", 0, 0, 0, 0, 0, 0, -2, 0, -3, -5
"v:\vex_os\build\qemu-serial-trace.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\qemu-serial2.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\qemu-serial3.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\qemu-services.log", "Log", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"v:\vex_os\build\qemu-shell-serial.log", "Log", 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"v:\vex_os\build\qemu-ui-fix.log", "Log", 0, 0, 0, 0, 0, 0, -64, 0, -6, -70
"v:\vex_os\build\qemu.log", "Log", 0, 0, 0, 0, 0, 0, -125, 0, -6, -131
"v:\vex_os\command-to-run.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"v:\vex_os\docs\architecture-tree.md", "Markdown", 0, -30, 0, 0, 0, 0, 0, 0, -7, -37
"v:\vex_os\docs\architecture.md", "Markdown", 0, 239, 0, 0, 0, 0, 0, 0, 64, 303
"v:\vex_os\docs\build.md", "Markdown", 0, 108, 0, 0, 0, 0, 0, 0, 39, 147
"v:\vex_os\docs\developer-guide.md", "Markdown", 0, 134, 0, 0, 0, 0, 0, 0, 47, 181
"v:\vex_os\docs\package-format.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 44, 167
"v:\vex_os\docs\roadmap.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 35, 139
"v:\vex_os\docs\running.md", "Markdown", 0, 105, 0, 0, 0, 0, 0, 0, 36, 141
"v:\vex_os\loader_pars.md", "Markdown", 0, 155, 0, 0, 0, 0, 0, 0, 5, 160
"v:\vex_os\tools\analyze_tests.py", "Python", 155, 0, 0, 0, 0, 0, 0, 7, 35, 197
"Total", "-", 155, 949, 1951, -2, -179, 33, -23812, 22, -91, -20974
