Date : 2026-07-09 03:31:23
Directory : v:\vex_os
Total : 79 files,  -20905 codes, 22 comments, -91 blanks, all -20974 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |          7 |      1,951 |          8 |         26 |      1,985 |
| Markdown    |          9 |        949 |          0 |        263 |      1,212 |
| Python      |          1 |        155 |          7 |         35 |        197 |
| C++         |          3 |         33 |          7 |          6 |         46 |
| CMake Cache |          1 |         -2 |          0 |         -1 |         -3 |
| YAML        |          1 |       -179 |          0 |         -4 |       -183 |
| Log         |         57 |    -23,812 |          0 |       -416 |    -24,228 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                     |         79 |    -20,905 |         22 |        -91 |    -20,974 |
| . (Files)                                             |          2 |        166 |          0 |          5 |        171 |
| apps                                                  |          8 |        552 |         15 |         32 |        599 |
| apps\compositor                                       |          1 |          1 |          0 |          0 |          1 |
| apps\gpu                                              |          1 |         33 |          0 |          2 |         35 |
| apps\init                                             |          6 |        518 |         15 |         30 |        563 |
| build                                                 |         61 |    -22,561 |          0 |       -421 |    -22,982 |
| build (Files)                                         |         25 |     -1,764 |          0 |       -178 |     -1,942 |
| build\CMakeFiles                                      |          1 |       -179 |          0 |         -4 |       -183 |
| build\Testing                                         |          2 |        -32 |          0 |         -4 |        -36 |
| build\Testing\Temporary                               |          2 |        -32 |          0 |         -4 |        -36 |
| build\boot                                            |          2 |      1,432 |          0 |          0 |      1,432 |
| build\out                                             |         31 |    -22,018 |          0 |       -235 |    -22,253 |
| docs                                                  |          7 |        783 |          0 |        258 |      1,041 |
| tools                                                 |          1 |        155 |          7 |         35 |        197 |
+-------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                              | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------+-------------+------------+------------+------------+------------+
| v:\vex_os\apps\compositor\main.c                      | C           |          1 |          0 |          0 |          1 |
| v:\vex_os\apps\gpu\main.c                             | C           |         33 |          0 |          2 |         35 |
| v:\vex_os\apps\init\desktop_app_runtime.c             | C           |        332 |          8 |         14 |        354 |
| v:\vex_os\apps\init\desktop_app_runtime.h             | C++         |         21 |          0 |          3 |         24 |
