Date : 2026-07-19 04:39:40
Directory : v:\vex_os
Total : 206 files,  15979 codes, 28 comments, 2074 blanks, all 18081 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         48 |     10,936 |         14 |      1,148 |     12,098 |
| C++      |         26 |      1,718 |          7 |        241 |      1,966 |
| CMake    |          1 |      1,232 |          0 |         73 |      1,305 |
| Markdown |          9 |      1,166 |          0 |        469 |      1,635 |
| Python   |          5 |        391 |          7 |         89 |        487 |
| Rust     |          3 |        311 |          0 |         46 |        357 |
| JSON     |        114 |        225 |          0 |          8 |        233 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |        206 |     15,979 |         28 |      2,074 |     18,081 |
| . (Files)                                                                                                                                        |          4 |      1,555 |          0 |        268 |      1,823 |
| apps                                                                                                                                             |         51 |      7,865 |         15 |        752 |      8,632 |
| apps\compositor                                                                                                                                  |          2 |        367 |          0 |         35 |        402 |
| apps\diagnostics                                                                                                                                 |          2 |        216 |          0 |         22 |        238 |
| apps\gpu                                                                                                                                         |          2 |        361 |          0 |         37 |        398 |
| apps\init                                                                                                                                        |         37 |      5,955 |         15 |        567 |      6,537 |
| apps\services                                                                                                                                    |          2 |        308 |          0 |         29 |        337 |
| apps\terminal                                                                                                                                    |          2 |        148 |          0 |         14 |        162 |
| apps\terminal2                                                                                                                                   |          2 |        314 |          0 |         31 |        345 |
| apps\testcenter                                                                                                                                  |          2 |        196 |          0 |         17 |        213 |
| boot                                                                                                                                             |         57 |      1,676 |          0 |        217 |      1,893 |
| boot\loader                                                                                                                                      |         57 |      1,676 |          0 |        217 |      1,893 |
| boot\loader\include                                                                                                                              |          3 |        397 |          0 |         44 |        441 |
| boot\loader\src                                                                                                                                  |          6 |      1,231 |          0 |        173 |      1,404 |
| boot\loader\target                                                                                                                               |         48 |         48 |          0 |          0 |         48 |
| boot\loader\target (Files)                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release                                                                                                                       |         16 |         16 |          0 |          0 |         16 |
| boot\loader\target\release\.fingerprint                                                                                                          |         16 |         16 |          0 |          0 |         16 |
| boot\loader\target\release\.fingerprint\curve25519-dalek-769562031082d83c                                                                        |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\curve25519-dalek-derive-b9550572b34d0a87                                                                 |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\generic-array-f4dc80595c54df6e                                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\proc-macro2-4785ec6557004dcf                                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\proc-macro2-72d2bc2b14af4d43                                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\proc-macro2-e6b5db7dddddaece                                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\ptr_meta_derive-8cfbc78be0d37a45                                                                         |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\quote-12c2b458db79443d                                                                                   |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\quote-28641a5334d22d3d                                                                                   |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\quote-77f4dd0ddd3ba1c7                                                                                   |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\rustc_version-f7247aef9f8080cb                                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\semver-16dc8760dec18436                                                                                  |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\syn-e1e5133e0a87bac0                                                                                     |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\uefi-macros-0a3fa1c38dfd791d                                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\unicode-ident-5407e3ddb834d3f2                                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\release\.fingerprint\version_check-44258754c0151999                                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi                                                                                                           |         31 |         31 |          0 |          0 |         31 |
| boot\loader\target\x86_64-unknown-uefi\release                                                                                                   |         31 |         31 |          0 |          0 |         31 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint                                                                                      |         31 |         31 |          0 |          0 |         31 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\bit_field-cbe1201b4b875dce                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\bitflags-f2082f24f8d37ffe                                                            |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\block-buffer-d96327a2a428abb0                                                        |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\cfg-if-273ffe4f4781cd56                                                              |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\cpufeatures-7bfc4b36b50bdeba                                                         |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\crypto-common-856ebb28f585c145                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\crypto-common-ed85b41a22e5c024                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-886942803a27a3fd                                                    |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-ef92a065eda0313f                                                    |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-fe9385f86f89dd77                                                    |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\digest-0378e93708eb5fd0                                                              |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\digest-b059eb2081b8cf30                                                              |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-9653af8ce642bd9b                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-27687fe0890fac60                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-38152d000a9cbe4e                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-23eeef57f50114dd                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-7b76943d0682d1a8                                                       |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\log-cdd89cbbe9774fc6                                                                 |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ptr_meta-df81312a49f51119                                                            |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-134809fef1c95c45                                                                |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-e157437fba9440da                                                                |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\signature-61c14b6d65a61428                                                           |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\subtle-a032d000767df35b                                                              |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\typenum-b59b66e9b4f45af3                                                             |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ucs2-1868e22a4eec054c                                                                |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-e4c9495851a4cfae                                                                |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-raw-605f0a1d6271cbf2                                                            |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uguid-5c2811f0444242ed                                                               |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-4f821b609b5f3d5b                                                          |          1 |          1 |          0 |          0 |          1 |
| boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-bf5a142ae22d60fd                                                          |          1 |          1 |          0 |          0 |          1 |
